ID,WORD,BASE_YEAR,OLD_CONTEXTS,NEW_CONTEXTS
56,ценный_ADJ,2007,"[['фсфр', 'сообщать', 'вчера', 'то', 'что', 'минюст', 'регистрировать', 'выпускать', 'служба', 'приказ', 'утверждение', 'положение', 'деятельность', 'по', 'организация', 'торговля', 'на', 'рынок', 'ценный', 'бумага'], ['компания', 'получать', 'доступ', 'торг', 'на', 'организовывать', 'рынок', 'ценный', 'бумага', 'для', 'обыкновенный', 'привилегированный', 'акция'], ['любить', 'свой', 'работа', 'трудиться', 'имя', 'самый', 'светлый', 'нежный', 'чувство', 'ваш', 'неутомимость', 'фантазия', 'позволять', 'вы', 'устанавливать', 'весьма', 'ценный', 'деловой', 'связь', 'отлично', 'проводить', 'время'], ['алмазный', 'сутр', 'являться', 'наиболее', 'ценный', 'предмет', 'экспозиция', 'посвящать', 'искусство', 'культурный', 'традиция', 'знаменитый', 'шелковый', 'путь', 'дорога', 'связывать', 'восток', 'запад', 'евразия'], ['именно', 'за', 'счет', 'вывод', 'капитал', 'фонд', 'из', 'российский', 'ценный', 'бумага', 'вложение', 'зарубежный']]","[['но', 'этот', 'ценный', 'качество', 'научаться', 'нельзя'], ['основной', 'лес', 'быть', 'высаживать', 'сосна', 'ель', 'также', 'небольшой', 'количество', 'саженец', 'ценный', 'порода', 'лиственница', 'кедр'], ['1993', 'указ', 'президент', 'рф::госфильмофонд', 'включать', 'свод', 'особо', 'ценный', 'объект', 'культурный', 'наследие', 'народ', 'россия'], ['кроме', 'то', 'до', 'конец', 'год', 'следовать', 'оформлять', 'пакет', 'документ', 'по', 'сокращение', 'налог', 'на', 'операция', 'ценный', 'бумага'], ['что', 'же', 'касаться', 'postbank', 'то', 'он', 'ценный', 'бумага', 'вопреки', 'общий', 'тенденция', 'дешеветь', 'более', 'чем', 'на', 'до', '57,27', 'евро']]"
57,должен_ADJ,2011,"[['вы', 'должен', 'благодарить', 'фанный', '-вираж', 'атаковать', 'игорь', 'очередной', 'поклонник'], ['мы', 'надо', 'смотреть', 'вперед', 'мы', 'там', 'олимпийский', 'игра', 'вот', 'этот', 'ребята', 'должен', 'приводить', 'себя', 'порядок', 'мы', 'они', 'должен', 'приводить', 'порядок', 'что', 'на', 'хороший', 'уровень', 'там', 'играть', 'сказать', 'тренер'], ['00', '43', '54-й', 'круг', 'масса', 'разбивать', 'передний', 'обтекатель', 'обидно', 'до', 'жуть', 'должен', 'быть', 'фелипбыть'], ['быть', 'предложение', 'не', 'дожидаться', 'формирование', 'какой-то', 'новый', 'орган', 'власть', 'вообще', 'всякий', 'разный', 'политический', 'событие', 'подготавливать', 'правительство', 'предложение', 'то', 'кто', 'это', 'должен', 'заниматься'], ['приемник', 'двойной', 'чипсет', 'gps/глонасс', 'должен', 'видеть', 'больше', 'спутник', 'один', 'система', 'подстраховать', 'другой', 'случай', 'потеря', 'сигнал']]","[['отправитель', 'обязательно', 'должен', 'быть', 'паспорт'], ['весь', 'сеть', 'кофеивать', 'блинный', 'сотня', 'сотня', 'этот', 'самый', 'сытный', 'блин', 'лучший', 'кофе', 'город', 'заполнить', 'студент', 'они', 'там', 'пить', 'кофе', 'есть', 'да', 'но', 'они', 'же', 'там', 'работать', 'что', 'научаться', 'студент', 'если', 'он', 'вместо', 'библиотека', 'который', 'должен', 'по', 'идея', 'ходить', 'как', 'на', 'работа', 'ходить', 'именно', 'на', 'работа', 'разносить', 'кофе', 'подавать', 'тарелка'], ['базовый', 'концепция', 'этот', 'программа', 'должен', 'быть', 'докладывать', 'на', 'заседание', 'правление', 'vw', 'до', 'конец', 'текущий', 'год'], ['мой', 'мнение', 'заключаться', 'то', 'что', 'все', 'денежный', 'средство', 'tusrif', 'должен', 'быть', 'немедленно', 'передавать', 'он', 'преуспевать', 'фонд', '-преемник', 'usrf'], ['основной', 'этот', 'блок', 'должен', 'быть', 'создавать', 'национальный', 'стратегия', 'поддержка', 'экспорт']]"
58,социальный_ADJ,2012,"[['правда', 'он', 'предлагать', 'не', 'использовать', 'слово', 'социализм', 'заменять', 'он', 'социальный', 'государство'], ['борьба', 'который', 'начинаться', 'именно', 'образование', 'далеко', 'уже', 'зависеть', 'от', 'преобладать', 'общество', 'этический', 'норма', 'социальный', 'гарантия'], ['но', 'как', 'рассказывать', 'журналист', 'пресс-секретарь', 'президент', 'дмитрий::песков', 'обсуждать', 'актуальный', 'вопрос', 'социальный', 'экономический', 'развитие', 'международный', 'отношение', 'акцент', 'на', 'ситуация', 'сирия', 'затрагивать', 'положение', 'дело', 'космический', 'отрасль', 'страна', 'связь'], ['щедрый', 'социальный', 'пакет', 'заявить', 'олланд', 'ход', 'президентский', 'гонка', 'возможный', 'только', 'условие', 'стабильный', 'рост', 'экономика'], ['шойгу', 'хотеть', 'чтобы', 'ведомство', 'сердюков', 'передать', 'этот', 'участок', 'на', 'безвозмездный', 'основа', 'что', 'на', 'они', 'строить', 'школа', 'больница', 'другой', 'социальный', 'объект']]","[['эксперт', 'область', 'социальный', 'экономический', 'развитие', 'регион', 'профессор', 'мгу::наталья::зубаревич', 'считать', 'что', 'очередной', 'повышение', 'налог', 'больший', 'степень', 'сказываться', 'на', 'бизнес', 'который', 'так', 'себя', 'не', 'очень', 'хорошо', 'чувствовать', 'условие', 'экономический', 'стагнация'], ['например', 'социальный', 'налог', 'который', 'прошлый', 'год', 'повышать', 'до', '34', 'для', 'малый', 'бизнес'], ['так', 'лотерея', 'победа', 'ежеквартально', 'отчислять', 'десяток', 'миллион', 'рубль', 'на', 'стратегия', 'социальный', 'развитие', 'вооруженный', 'сила', 'до', '2020', 'год', 'средства', 'от', 'спортлото', 'идти', 'на', 'олимпийский', 'паралимпийский', 'игра', 'сочи'], ['самый', 'яркий', 'момент', 'из', 'жизнь', 'теперь', 'принятый', 'выкладывать', 'социальный', 'сеть'], ['как', 'следовать', 'из', 'социологический', 'данные', 'институт', 'социальный', 'исследование', 'за', 'два', 'неделя', 'до', 'выборы', 'рейтинг', 'кандидат', 'составлять', 'сергей::собянин', '58,8', 'на', 'второй', 'место', 'идти', 'алексей::навальный', 'рпр-парнас', '15', 'на', 'третий', 'иван::мельников', 'кпрф', '13', 'на', 'четвертый', 'позиция', 'николай::левичев', 'справедливый', 'россия', '5,4', 'гражданин', 'уже', 'определяться', 'что', 'быть', 'голосовать', 'за', 'он']]"
59,чеченский_ADJ,2000,"[['.23', 'май', '1996', 'год', 'день', 'рождение', 'женя', 'родионов', 'который', 'тогда', 'исполняться', '19', 'уже', 'месяц', 'томить', 'чеченский', 'плен', 'ранее', 'всего', 'около', 'месяц', 'отслужить', 'российский', 'армия', 'бандит', 'предлагать', 'делать', 'выбор', 'или', 'солдат', 'срывать', 'себя', 'нательный', 'крестик', 'быть', 'жить', 'или', 'отказываться', 'это', 'делать', 'тогда', 'он', 'смерть'], ['какой', 'роль', 'на', 'ваш', 'взгляд', 'этот', 'событие', 'сыграть', 'чеченский', 'нефть', 'свой', 'время', 'много', 'писать', 'то', 'что', 'борьба', 'за', 'обладание', 'нефтяной', 'ресурс', 'этот', 'регион', 'быть', 'основной', 'причина', 'конфликт'], ['единственный', 'причина', 'до', 'предел', 'обостряться', 'отношение', 'азербайджанский', 'чеченский', 'диаспора', 'иркутск', 'передел', 'влияние', 'криминально', '-экономический', 'сфера'], ['поэтому', 'назначение', 'на', 'пост', 'руководитель', 'республика', 'любой', 'человек', 'вызывать', 'бы', 'примерно', 'такой', 'же', 'реакция', 'разный', 'сила', 'политический', 'структура', 'чеченский', 'общество'], ['частность', 'обучение', 'здесь', 'проходить', 'племянница', 'один', 'из', 'самый', 'зловещий', 'чеченский', 'бандит', 'арби::бараев', 'по', 'имя', 'хав', 'дорвать', 'себя', 'вместе', 'грузовик', '-мин', 'здание', 'комендатура', 'алхан-юрт']]","[['решительный', 'поддержка', 'москва', 'северный', 'альянс', 'помогать', 'покончить', 'банда', 'так', 'называть', 'исламский', 'движение', 'узбекистан', 'который', 'активно', 'сотрудничать', 'воинствый', 'бен', 'ладен', 'чеченский', 'боевик', 'упорно', 'дестабилизировать', 'обстановка', 'центральный', 'азия'], ['то', 'не', 'менее', 'новый', 'геополитический', 'расклад', 'сила', 'для', 'парламентарий', 'пасе', 'этот', 'гибкий', 'тактика', 'мочь', 'служить', 'доказательство', 'то', 'что', 'москва', 'вроде', 'бы', 'следовать', 'совет', 'совет::европа', 'начинать', 'переговоры', 'без', 'всякий', 'предварительный', 'условие', 'как', 'чеченский', 'гражданский', 'лидер', 'так', 'военный', 'командир'], ['представитель', 'масхадов', 'иордания', 'первый', 'же', 'час', 'трагедия', 'стать', 'разъяснять', 'дескать', 'акция', 'иметь', 'цель', 'обращать', 'внимание', 'мировой', 'сообщество', 'на', 'геноцид', 'чеченский', 'народ', 'якобы', 'осуществлять', 'россия'], ['как', 'он', 'красиво', 'откровенничать', 'по', 'чеченский', 'телевидение', 'всегда', 'хотеть', 'быть', 'созидатель', 'всегда', 'по-хорошему', 'завидовать', 'то', 'кто', 'хоть', 'что-то', 'создавать', 'свой', 'рука'], ['вчера', 'грозный', 'проходить', 'выездной', 'расширенный', 'заседание', 'комиссия', 'госдума', 'по', 'содействие', 'нормализация', 'общественный', 'политический', 'социальный', 'экономический', 'обстановка', 'соблюдение', 'право', 'человек', 'чеченский', 'республика']]"
60,американский_ADJ,2007,"[['на', 'какой', 'основание', 'оказываться', 'за', 'два', 'день', 'до', 'исполком', 'тайбэй', 'частный', 'американский', 'издание', 'вокруг', 'кольцо', 'быть', 'опубликовывать', 'статья', 'то', 'что', 'эдуард::хусаинов', 'иметь', 'связь', 'сепаратистский', 'исламский', 'движение', 'на', 'азиатский', 'территория', 'россия', '2005', 'год', 'быть', 'осуждать', 'за', 'террористический', 'деятельность'], ['alfa::capital::partners', 'американский', 'компания', 'jer::partners', 'объявлять', 'формирование', 'фонд', 'marbleton::property::fund', 'на', '321', 'миллион', 'доллар'], ['здесь', 'надо', 'бы', 'напоминать', 'что', 'еще', 'весна', 'период', 'начало', 'предвыборный', 'кампания', 'на', 'украина', 'американский', 'журнал', 'foreign::affairs', 'опубликовывать', 'статья', 'юлия::тимошенко', 'под', 'название', 'сдерживать', 'россия', 'где', 'излагаться', 'концепция', 'обуздание', 'имперский', 'сущность', 'кремль'], ['во-вторых', 'наличие', 'новый', 'элемент', 'американский', 'военный', 'присутствие', 'европа', 'неизбежно', 'требовать', 'они', 'учет', 'европейский', 'политика', 'безопасность', 'что', 'давать', 'сша', 'возможность', 'усиливать', 'свой', 'голос', 'влияние'], ['впрочем', 'если', 'решение', 'американский', 'чиновник', 'по', 'этот', 'сделка', 'еще', 'только', 'предстоять', 'дожидаться', 'то', 'менеджмент', 'канадский', 'компания', 'уже', 'давно', 'определяться', 'неустанно', 'советовать', 'свой', 'акционер', 'не', 'принимать', 'предложение', 'alcoa']]","[['мой', 'средний', 'китэн', 'на', 'день', 'становиться', 'игрок', 'самый', 'престижный', 'команда', 'по', 'американский', 'футбол', 'all::stars'], ['среди', 'они', 'преобладать', 'американский', 'сериал', 'или', 'такой', 'шоу', 'начинать', 'исполнитель', 'как', 'star::academy'], ['по', 'сообщение', 'американский', 'пресса', 'на', 'день', 'быть', 'достигать', 'промежуточный', 'соглашение', 'результат', 'который', 'становиться', 'возможный', 'сотрудничество', 'сценарист', 'организатор', 'грэмми'], ['представитель', 'банк', 'отмечать', 'что', 'некоторый', 'положение', 'иск', 'основывать', 'на', 'американский', 'уголовный', 'право'], ['большинство', 'американский', 'гомосексуалист', 'хотеть', 'видеть', 'свой', 'президент', 'барак::обама']]"
61,рад_ADJ,2004,"[['настоящий', 'момент', 'оппозиция', 'при', 'активный', 'поддержка', 'запад', 'пытаться', 'добиваться', 'максимальный', 'количество', 'уступка', 'действовать', 'власть', 'она', 'уже', 'удаваться', 'добиваться', 'созыв', 'верховный', 'суд', 'что', 'рано', 'не', 'мочь', 'быть', 'речь', 'потом', 'верховный', 'рад', 'единогласно', 'признавать', 'что', 'итог', 'выборы', 'не', 'соответствовать', 'реальный', 'политический', 'убеждение', 'украинский', 'народ'], ['правда', 'телевизионщик', 'леонид::парфенов', 'шутка', 'усомниться', 'мочь', 'ли', 'он', 'российский', 'империя', 'побеждать', 'номинация', 'документальный', 'сериал', 'называться', 'киный', 'но', 'премия', 'все', 'же', 'быть', 'искренне', 'рад'], ['не', 'хотеть', 'бы', 'говорить', 'ничто', 'плохой', 'российский', 'агентство', 'ведущий', 'переговоры', 'вхождение', 'группа', 'wpp', 'но', 'думать', 'что', 'они', 'рад', 'самый', 'факт', 'то', 'что', 'на', 'они', 'обращать', 'внимание', 'столь', 'крупный', 'покупатель', 'готовность', 'становиться', 'он', 'продаваться'], ['очень', 'рад', 'за', 'свой', 'ребята', 'признаваться', 'наставник', 'динамо', 'ярослав::гжебик'], ['учитывать', 'тот', 'факт', 'что', 'один', 'тот', 'же', 'исполнитель', 'хорошо', 'известный', 'номер', 'сегодня', 'кочевать', 'из', 'один', 'юмористический', 'передача', 'другой', 'легко', 'понимать', 'значительный', 'доля', 'зритель', 'который', 'действительно', 'быть', 'бы', 'рад', 'закрытие', 'аншлаг']]","[['он', 'предусматривать', 'слово', 'обеспечение', 'безопасность', 'лишь', 'для', 'президент', 'экс-президент', 'страна', 'пожизненно', 'председатель', 'верховный', 'рад', 'глава', 'правительство', 'они', 'первый', 'зам', 'еще', 'председатель', 'конституционный', 'суд', 'верховный', 'суд', 'украина'], ['бразильский', 'полузащитник', 'рад', 'то', 'чтобы', 'становиться', 'часть', 'футбольный', 'история', 'это', 'фантастика'], ['рад', 'за', 'он'], ['евгений::кочман', 'уважаемый', 'сергей', 'мы', 'быть', 'бы', 'очень', 'рад', 'привлекать', 'австралийский', 'бренд'], ['мы', 'не', 'рад', 'потому', 'что', 'отличие', 'от', 'грузия', 'украина', 'при', 'три', 'следовать', 'друг', 'за', 'другой', 'премьера', 'то', 'быть', 'ющенко', 'особенно', 'кинахо', 'янукович', 'только-', 'только', 'начинать', 'жить', 'относительно', 'нормально', 'по', 'крайний', 'мера', 'она', 'восточный', 'южный', 'часть', 'вот', 'вы', 'пожалуйста']]"
62,экономический_ADJ,2005,"[['руководитель', 'экономический', 'экспертный', 'группа', 'евсей::томович::гурвич', 'считать', 'что', 'несмотря', 'на', 'послепраздничный', 'сдача', 'позиция', 'рубль', 'рост', 'американский', 'валюта', 'явление', 'временный', 'текущий', 'год', 'укрепление', 'рубль', 'продолжаться'], ['как', 'сообщать', 'труд', 'управление', 'по', 'борьба', 'экономический', 'преступление', 'убэп', 'гувд', 'столица', 'выбирать', 'мошенник', 'схема', 'москва', 'использовать', 'уже', 'не', 'раз'], ['газовый', 'конфликт', 'киев', 'обострять', 'ранее', 'скрывать', 'проблема', 'другой', 'экономический', 'область', 'российско-украинский', 'отношение'], ['перевод', 'система', 'льгота', 'на', 'выплата', 'денежный', 'компенсация', 'передача', 'функция', 'обеспечение', 'ряд', 'льготный', 'группа', 'региональный', 'ведение', 'целое', 'правильный', 'шаг', 'сказать', 'rbc', 'daily', 'гендиректор', 'русский', 'экономический', 'общество', 'денис::муханов'], ['15', 'год', 'назад', 'начинаться', 'экономический', 'блокада', 'литва', 'со', 'сторона', 'ссср', '15', 'год', 'назад', '1990', 'связь', 'отказ', 'верховный', 'совет::литва', 'признавать', 'действие', 'конституция::ссср', 'начинаться', 'экономический', 'блокада', 'литва', 'со', 'сторона', 'ссср', '18', 'апрель', 'июль']]","[['эксперт', 'отмечать', 'что', 'отказ', 'от', 'поставка', 'весь', 'прокачиваемый', 'нефть', 'китай', 'обусловливать', 'экономический', 'причина'], ['но', 'тут', 'мы', 'рисковать', 'понести', 'урон', 'не', 'только', 'экономический'], ['после', 'аудит', 'центрдевелопмент', 'предоставлять', 'собственник', 'недвижимость', 'окончательный', 'рекомендация', 'по', 'результат', 'проверка', 'предлагать', 'вариант', 'повышение', 'экономический', 'эффективность', 'использование', 'объект', 'иногда', 'давать', 'рекомендация', 'по', 'пересмотр', 'условие', 'договор', 'аренда', 'возможный', 'повышение', 'она', 'стоимость', 'оптимизация', 'схема', 'технический', 'обслуживание', 'эксплуатация', 'инженерный', 'система'], ['власть', 'дубай', 'создавать', 'благоприятный', 'экономический', 'ситуация', 'для', 'деятельность', 'зарубежный', 'предприниматель', 'инвестор', 'также', 'для', 'бизнес-', 'туризм', 'отдых'], ['другой', 'сторона', 'между', 'два', 'страна', 'на', 'правительственный', 'уровень', 'действовать', 'различный', 'переговорный', 'канал', 'тот', 'число', 'комиссия', 'по', 'экономический', 'сотрудничество', 'да', 'на', 'частный', 'уровень', 'задействовать', 'экономический', 'финансовый', 'канал']]"
63,должен_ADJ,2001,"[['они', 'не', 'должен', 'быть', 'при', 'правильный', 'организация', 'служба'], ['если', 'вы', 'москвич', 'ваш', 'работодатель', 'из', 'санкт-петербург', 'вы', 'должен', 'просто', 'приходить', 'налоговый', 'инспекция', 'москва', 'по', 'место', 'жительство', 'писать', 'заявление'], ['мы', 'нужный', 'отвечать', 'на', 'главный', 'вопрос', 'какой', 'задача', 'должен', 'решать', 'земельный', 'кодекс', 'они', 'очевидный', 'экономический', 'точка', 'зрение', 'это', 'приток', 'инвестиция', 'на', 'они', 'основа', 'освоение', 'современный', 'технология', 'обеспечение', 'высокий', 'доходность', 'отрасль', 'социальный', 'точка', 'зрение', 'поддержание', 'достойный', 'жизненный', 'уровень', 'крестьянин'], ['какой', 'интеллигент', 'отношение', 'власть', 'он', 'должен', 'быть', 'всегда', 'оппозиция', 'как', 'считать', 'некоторый', 'или', 'идти', 'власть', 'как', 'например', 'салтыков-щедрин', 'державин', 'тютчев', 'грибоедов', 'жуковский'], ['первоначально', 'много', 'спор', 'вызывать', 'предложение', 'мпс', 'создавать', 'единый', 'акционерный', 'общество', 'российский', 'железный', 'дорога', 'все', '100', 'процент', 'акция', 'который', 'должен', 'принадлежать', 'государство']]","[['наметить', 'вывод', 'объединять', 'группировка', 'войска', 'территория', 'чечня', 'результат', 'который', 'численность', 'группировка', 'минобороны', 'должен', 'быть', 'составлять', '22', 'тысяча', 'человек', 'останавливать'], ['кстати', 'должен', 'замечать', 'что', 'путь', 'россия', 'европа', 'порой', 'оценивать', 'ваш', 'страна', 'упрощенно'], ['ребенок', 'уже', 'давно', 'должен', 'быть', 'постель', 'ну', 'ладно', 'думать', 'не', 'каждый', 'день', 'гость'], ['хотя', 'бы', 'потому', 'что', 'зал', 'приходить', 'основной', 'молодежь', 'она', 'другой', 'взгляд', 'не', 'только', 'на', 'проблема', 'любовь', 'семья', 'но', 'даже', 'на', 'то', 'как', 'должен', 'смотреться', 'герой'], ['вообще', 'америка', 'существовать', 'такой', 'негласный', 'правило', 'никто', 'никто', 'ни', 'что', 'мешать', 'не', 'должен']]"
64,многие_ADJ,2011,"[['среди', 'они', 'неоднократный', 'олимпийский', 'чемпион', 'биатлонист', 'сергей::чепиков', 'ректор', 'уральский', 'юридический', 'академия', 'владимир', 'бублик', 'руководитель', 'свердловский', 'цирк', 'анатолий::марчевский', 'многие', 'другой'], ['многие', 'словенский', 'предприятие', 'открывать', 'производство', 'россия'], ['во', 'время', 'беспорядки', 'из', 'египетский', 'тюрьма', 'быть', 'выпускать', 'до', '25', 'тысяча', 'экстремист', 'многие', 'из', 'который', 'специализироваться', 'именно', 'на', 'нападение', 'на', 'турист', 'утверждать', 'евгений::сатановский'], ['неудача', 'бывать', 'многие', 'тренер'], ['сбербанк', 'являться', 'один', 'из', 'самый', 'крупный', 'игрок', 'на', 'рынок', 'закупка', 'it', '-оборудование', 'многие', 'поставщик', 'работать', 'конкретно', 'под', 'он', 'аукцион']]","[['думать', 'многие', 'хотеться', 'чтобы', 'период', 'летний', 'затишье', 'алексей', 'сменять', 'митинговый', 'активность', 'на', 'конкретный', 'дело', 'ведущий', 'российский', 'компания', 'проявлять', 'себя', 'лучший', 'сторона', 'соглашаться', 'главный', 'аналитик', 'компания', 'ай-ти-инвест', 'проспект', 'александр::потавин'], ['ощущение', 'что', 'если', 'не', 'случаться', 'чудо', 'нефтяной', 'цена', 'или', 'федерация', 'не', 'изменять', 'свой', 'политика', 'по', 'делегирование', 'расход', 'регион', 'без', 'предоставление', 'существенный', 'помощь', 'проблема', 'быть', 'многие', 'резюмировать', 's&amp;p'], ['думать', 'один', 'такой', 'так', 'маяться', 'многие'], ['издержка', 'по', 'суд', 'компенсировать', 'должник', 'говорить', 'предправление', 'банк', 'авангард', 'валерий::торхов', 'отмечать', 'что', 'мфо', 'покрывать', 'многие', 'невозвринать', 'за', 'счет', 'высокий', 'ставка', 'по', 'кредит'], ['главный', 'тренер', 'национальный', 'команда', 'борис::соколовский', 'признавать', 'многие', 'свой', 'ошибка', 'просчет', 'но', 'говорить', 'это', 'осторожно']]"
65,товарищеский_ADJ,2008,"[['уставать', 'после', 'товарищеский', 'матч', 'перу', 'утомительный', 'дорога', 'футболист', 'переступать', 'нога', 'на', 'нога', 'течение', 'почти', 'целый', 'час'], ['сборная', 'испания', 'проводить', 'при', 'новый', 'наставник', 'пока', 'всего', 'два', 'матч', 'товарищеский', 'датчан', 'отборочный', 'боснийец', 'изменение', 'тактический', 'рисунок', 'видный', 'невооруженный', 'глаз'], ['среда', '26', 'март', 'сборная', 'россия', 'проводить', 'товарищеский', 'матч', 'бухарест', 'против', 'команда', 'румыния'], ['наставник', 'сборная', 'испания', 'наш', 'первый', 'соперник', 'на', 'евро', '2008', 'пообещать', 'давать', 'интервью', 'ссф', 'только', 'тот', 'случай', 'если', 'он', 'подопечный', 'получаться', 'одолевать', 'товарищеский', 'матч', 'чемпион', 'мир', 'итальянец'], ['так', 'что', 'наверное', 'все-таки', 'надеть', 'свой', 'китель', 'на', 'один', 'из', 'товарищеский', 'матч']]","[['вот', 'звездный', 'час', 'росси', 'наставать', 'октябрь', 'прошлый', 'год', 'он', 'дебютировать', 'команда', 'марчелло::липпи', 'матч', 'против', 'болгария', 'июнь', 'забивать', 'первый', 'мяч', 'товарищеский', 'встреча', 'североирландца'], ['именно', 'это', 'делать', 'испанец', 'недавний', 'товарищеский', 'матч', 'англичанин', 'подолгу', 'контролировать', 'мяч', 'они', 'добиваться', 'уверенный', 'победа'], ['мы', 'садиться', 'тренерский', 'штаб', 'подумать', 'покумекивать', 'смотреть', 'два', 'товарищеский', 'игра', 'селтика', 'решать', 'что', 'один', 'кержаков', 'впереди', 'быть', 'тяжелый'], ['ведь', 'этот', 'поединок', 'значительно', 'важный', 'чем', 'товарищеский', 'встреча', 'россия'], ['понятный', 'зритель', 'собираться', 'не', 'на', 'локо', 'смотреть', 'платить', 'кстати', 'очень', 'даже', 'приличный', 'для', 'товарищеский', 'игра', 'деньги', 'от', 'восемь', 'до', 'десять', 'евро', 'на', 'свой', 'любимый', 'чемпион', 'но', 'играть', '-то', 'при', 'переполненный', 'трибуна', 'железнодорожник', 'куда', 'приятный', 'чем', 'без', 'зритель']]"
