ID,WORD,SCORE
0,бесподобный,0.963
1,невнятный,0.953
3,обалденный,0.933
7,отвратный,0.92
8,нежный,0.916
9,посредственный,0.912
10,шикарный,0.908
11,нелогичный,0.906
12,клевый,0.898
13,средненький,0.895
14,непонятный,0.895
15,слабенький,0.892
16,неестественный,0.89
19,неплохой,0.885
21,превосходный,0.8809999999999999
22,неоднозначный,0.879
23,прикольный,0.878
24,необычный,0.878
25,красочный,0.8759999999999999
26,бессмысленный,0.872
27,нереальный,0.872
28,неожиданный,0.872
29,классный,0.871
30,офигительный,0.8690000000000001
31,непредсказуемый,0.8690000000000001
32,изумительный,0.8640000000000001
33,неудобный,0.862
35,тупой,0.8540000000000001
36,убогий,0.853
37,простенький,0.852
39,нелепый,0.848
41,бесполезный,0.847
42,безупречный,0.846
43,непривычный,0.846
44,удачный,0.846
45,неторопливый,0.843
47,однозначный,0.841
48,некрасивый,0.841
49,ненужный,0.841
51,одноразовый,0.836
53,замечательный,0.836
54,чудесный,0.8340000000000001
56,отвратительный,0.833
57,неприятный,0.83
58,невзрачный,0.83
61,восхитительный,0.8270000000000001
62,реалистичный,0.825
63,невероятный,0.8220000000000001
64,добротный,0.8220000000000001
67,туповатый,0.82
68,симпатичный,0.8190000000000001
69,худой,0.815
74,банальный,0.8059999999999999
75,скучный,0.8059999999999999
76,идиотский,0.8059999999999999
77,отстойный,0.8059999999999999
78,динамичный,0.804
80,нестандартный,0.799
82,неудачный,0.7979999999999999
86,гениальный,0.795
87,любимый,0.794
88,немаловажный,0.7929999999999999
90,логичный,0.7909999999999999
92,гармоничный,0.7859999999999999
93,забавный,0.784
94,крутой,0.782
96,слабоватый,0.7809999999999999
97,смешной,0.777
99,удивительный,0.775
100,бесконечный,0.775
103,пошлый,0.772
107,блестящий,0.768
108,бредовый,0.767
109,предсказуемый,0.763
110,неподходящий,0.7609999999999999
112,понятный,0.759
114,стыдный,0.757
115,великолепный,0.757
117,плохой,0.7559999999999999
118,недовольный,0.754
120,довольный,0.752
121,терпимый,0.7509999999999999
123,ужасный,0.75
124,глубокий,0.748
125,безумный,0.746
126,примитивный,0.746
127,оригинальный,0.7440000000000001
129,раскрытый,0.741
130,неинтересный,0.741
132,отличный,0.738
133,своеобразный,0.736
134,однообразный,0.736
135,незатейливый,0.735
136,стильный,0.735
137,негативный,0.735
139,корявый,0.735
140,искренний,0.735
141,достойный,0.7340000000000001
