ID,WORD
0,абсурдный
1,авантюристический
2,авантюристский
3,авантюрный
4,авральный
5,авторитарный
6,авторитетный
7,агрессивный
8,агрессорский
9,адаптационный
10,адаптивный
11,адекватный
12,адов
13,адский
14,аккуратный
15,активный
16,актуальный
17,алогический
18,алогичный
19,алчный
20,аморальный
21,аморфный
22,ангажированный
23,ангельский
24,анемичный
25,аномальный
26,антагонистический
27,антагонистичный
28,антагонистский
29,антигуманистический
30,антигуманный
31,антизаконный
32,антинародный
33,антиобщественный
34,антипатичный
35,антисоциальный
36,античеловеческий
37,античеловечный
38,апатический
39,апатичный
40,аппетитный
41,аристократический
42,аристократичный
43,артистический
44,артистичный
45,архаический
46,архаичный
47,архиважный
48,аутсайдерский
49,аферистский
50,афигенный
51,бабский
52,балованный
53,банальный
54,бандитский
55,бардачный
56,барышнический
57,бахвальский
58,башковитый
59,бдительный
60,беднейший
61,бедненький
62,бедный
63,бедняцкий
64,бедственный
65,безалаберный
66,безальтернативный
67,безапелляционный
68,безбедный
69,безбожный
70,безбоязненный
71,безвинный
72,безвкусный
73,безвозбранный
74,безвольный
75,безвредный
76,безвременный
77,безвыходный
78,безголовый
79,безграмотный
80,безгреховный
81,безгрешный
82,бездарный
83,безденежный
84,бездеятельный
85,бездоказательный
86,бездумный
87,бездушный
88,безжалостный
89,безжизненный
90,беззаботный
91,беззаконный
92,беззастенчивый
93,беззащитный
94,беззлобный
95,безликий
96,безмозглый
97,безмятежный
98,безнадежный
99,безнаказанный
100,безобидный
101,безоблачный
102,безобразный
103,безопасный
104,безосновательный
105,безответственный
106,безотказный
107,безотрадный
108,безошибочный
109,безперебойный
110,безрадостный
111,безразличный
112,безрезультативный
113,безрезультатный
114,безрукий
115,безукоризненный
116,безумный
117,безупречный
118,безуспешный
119,безустанный
120,безутешный
121,безучастный
122,безыскусный
123,безыскусственный
124,безысходный
125,белесый
126,бережливый
127,бережный
128,бескомпромиссный
129,бесконтрольный
130,бескорыстный
131,бескультурный
132,беспалевный
133,беспамятный
134,беспардонный
135,бесперспективный
136,беспечный
137,бесплодный
138,бесподобный
139,бесполезный
140,беспомощный
141,беспорочный
142,беспорядочный
143,беспочвенный
144,беспощадный
145,беспрепятственный
146,беспризорнический
147,беспризорный
148,беспринципный
149,беспристрастный
150,беспроигрышный
151,беспросветный
152,беспутнический
153,беспутный
154,бессвязный
155,бессердечный
156,бессильный
157,бесславный
158,бессмертный
159,бессмысленный
160,бессовестный
161,бессодержательный
162,бесстрашный
163,бесстыдный
164,бессчетный
165,бестактный
166,бесталанный
167,бестолковый
168,бесхитростный
169,бесхребетный
170,бесцветный
171,бесценный
172,бесцеремонный
173,бесчеловечный
174,бесчестный
175,бесчисленный
176,бесчувственный
177,бешеный
178,бирючий
179,битый
180,благоверный
181,благовоспитанный
182,благодатный
183,благодетельный
184,благожелательный
185,благой
186,благополучный
187,благопристойный
188,благоприятный
189,благоразумный
190,благородный
191,благосклонный
